CityID,user_id,total_flow
6081949,27235,108475680
6081949,27746,76065458
6081949,18945,55304049
6281949,15118,149311909
6281949,11397,124293438
6281949,25814,104428054
6301949,2429,109171121
6301949,26825,95374030
6301949,10932,74016744
6411949,662,75162566
6411949,21030,49933641
6411949,16769,49383506
6412149,22585,200516731
6412149,14472,138262790
6412149,25147,70594902
6481949,12026,51161825
6481949,670,49626204
6481949,14877,34488733
6581949,9494,38854436
6581949,26876,23449539
6581949,21761,21136440
